date;BBCH;TDD;VPD;precipit;cumul_precipit_30d;cumul_precipit_60d;cumul_precipit_1Jan;nb_days_rainfall_30d;nb_days_rainfall_60d;nb_days_rainfall_1Jan;nb_days_rainfall_1Nov;temp;RH;wetness;MTG;cumul_precipit_1Nov;dew_point;solar_radiation_30d;solar_radiation_1Jan;nb_germ_oosp_1d;nb_germ_oosp_10d;maturity
26.03.2004;0;21.3;0.254;0;60.1;118.1;295.3;9;16;31;46;2.4;65;0;4;354.1;-3.6;NA;NA;49;757;immature
02.04.2004;5;29.7;0.492;7.4;67.5;105.3;302.7;10;14;32;47;11.6;64;240;4;361.5;5.2;NA;NA;33;393;immature
08.04.2004;5;36.2;0.29;0;68.9;118.5;316.7;12;17;36;51;6;69;0;4;375.5;0.8;NA;NA;7;20;immature
15.04.2004;5;38.2;0.157;3.6;31.4;122.7;321.1;10;18;38;53;7.6;85;690;1;379.9;5.2;NA;NA;36;316;mature
19.04.2004;5;46.2;0.182;1.2;34.6;125.9;324.3;12;20;40;55;5.6;80;480;3;383.1;2.4;NA;NA;10;345;immature
22.04.2004;5;58;0.623;0;29;125.9;324.3;9;20;40;55;14.8;63;0;2;383.1;7.7;NA;NA;7;27;mature
26.04.2004;7;77.2;0.536;0;29.6;89.7;324.9;10;19;41;56;11.3;60;0;2;383.7;3.8;NA;NA;8;45;mature
30.04.2004;10;99;0.425;1.4;31;91.1;326.3;11;20;42;57;13.2;72;360;2;385.1;8.2;NA;NA;12;19;mature
03.05.2004;12;109.7;0.307;2.4;30.2;97.7;332.9;13;23;45;60;11.9;78;750;1;391.7;8.3;NA;NA;8;27;mature
07.05.2004;13;113.8;0.249;1.8;36.6;103.2;350.9;14;25;49;64;7.5;76;520;1;409.7;3.6;NA;NA;8;27;mature
24.03.2005;0;27;0.038;11.4;23.6;67.3;101.3;5;10;19;34;10.6;97;1180;5;224.1;10;NA;NA;47;430;immature
31.03.2005;1;46.9;0.259;0;54.2;93.8;131.9;10;14;24;39;8.7;77;100;4;254.7;5;NA;NA;48;970;immature
08.04.2005;3;67.9;0.126;16.8;91.1;135.3;173.7;10;15;26;41;6.5;87;690;3;296.5;4.5;NA;NA;24;905;immature
18.04.2005;7;74.3;0.129;2.6;132.1;137.9;215.7;14;17;31;46;6.9;87;280;2;338.5;5;NA;NA;31;745;mature
25.04.2005;9;82.9;0.132;17;162.5;186.1;263.9;16;21;35;50;9.6;89;800;2;386.7;7.8;NA;NA;73;751;mature
02.05.2005;12;138.7;0.998;0;133.9;188.1;265.9;12;22;36;51;18.8;54;0;1;388.7;9.3;NA;NA;3;696;mature
06.05.2005;13;155.3;0.336;0;144.7;194.3;276.7;15;24;39;54;10.2;73;40;1;399.5;5.7;NA;NA;102;892;mature
13.05.2005;53;181.9;0.373;1;108.7;199.3;282.9;16;26;43;58;14.9;78;390;1;405.7;11;NA;NA;28;225;mature
23.05.2005;55;232.4;0.146;20.6;112.3;246.9;336.9;15;30;48;63;11.2;89;580;1;459.7;9.4;NA;NA;4;23;mature
31.05.2005;57;322.8;0.754;0;72.9;206.9;338.9;13;25;49;64;15.8;58;0;2;461.7;7.5;NA;NA;1;1;mature
10.04.2006;1;29.2;0;32;174.1;320.3;349.5;18;33;38;56;3.6;100;1200;3;456.1;3.6;NA;NA;47;436;immature
20.04.2006;7;52;0.507;0;177.3;260.3;356.7;19;29;40;58;12.5;65;0;2;463.3;6.1;NA;NA;38;320;mature
27.04.2006;11;93.4;0.384;0;153.9;262.5;362.3;16;30;43;61;13.4;75;310;2;468.9;9.1;NA;NA;57;210;mature
02.05.2006;11;108.4;0.652;0;98.1;260.9;362.3;11;29;43;61;14.7;61;10;3;468.9;7.3;NA;NA;7;27;immature
